2013-06-14 10:38:06 INFO  *******************测试用例windowHandleTest开始执行*****************
2013-06-14 10:38:13 INFO  [Case:Method=>windowHandleTest]初始化了浏览器PhantomJS来进行自动化测试
2013-06-14 10:38:15 INFO  [Case:Method=>windowHandleTest]窗口的句柄数增多，进行句柄收集操作
2013-06-14 10:38:15 INFO  [Case:Method=>windowHandleTest]添加了新的窗口信息->hao123_上网从这里开始
2013-06-14 10:38:15 INFO  [Case:Method=>windowHandleTest]当前初始化页面信息：URL--->http://www.hao123.com/
2013-06-14 10:38:15 INFO  [Case:Method=>windowHandleTest]当前初始化页面信息：Title--->hao123_上网从这里开始
2013-06-14 10:38:15 INFO  [Case:Method=>windowHandleTest]当前初始化页面信息：窗口句柄数--->1
2013-06-14 10:38:15 INFO  在新的窗口打开了链接http://www.baidu.com
2013-06-14 10:38:18 INFO  [Case:Method=>windowHandleTest]窗口的句柄数增多，进行句柄收集操作
2013-06-14 10:38:18 INFO  [Case:Method=>windowHandleTest]添加了新的窗口信息->百度一下，你就知道
2013-06-14 10:38:18 INFO  [Case:Method=>windowHandleTest]当前页面信息：URL--->http://www.baidu.com/
2013-06-14 10:38:18 INFO  [Case:Method=>windowHandleTest]当前页面信息：Title--->百度一下，你就知道
2013-06-14 10:38:18 INFO  [Case:Method=>windowHandleTest]当前页面信息：窗口句柄数--->2
2013-06-14 10:38:18 INFO  [Case:Method=>windowHandleTest][By.id: kw,index->01]输入[北京]值操作成功
2013-06-14 10:38:19 INFO  [Case:Method=>windowHandleTest][By.id: su]点击操作成功
2013-06-14 10:38:19 INFO  [Case:Method=>windowHandleTest]当前页面发生了变化，切换到了新的页面--->北京_百度搜索
2013-06-14 10:38:20 INFO  [Case:Method=>windowHandleTest]关闭了浏览器
2013-06-14 10:38:20 INFO  *******************测试用例windowHandleTest执行结束****************
2013-06-14 15:19:00 INFO  *******************测试用例runjsTest开始执行*****************
2013-06-14 15:19:04 INFO  [Case:Method=>runjsTest]初始化了浏览器PhantomJS来进行自动化测试
2013-06-14 15:19:04 INFO  [Case:Method=>runjsTest]窗口的句柄数增多，进行句柄收集操作
2013-06-14 15:19:04 INFO  [Case:Method=>runjsTest]添加了新的窗口信息->百度一下，你就知道
2013-06-14 15:19:04 INFO  [Case:Method=>runjsTest]当前初始化页面信息：URL--->http://www.baidu.com/
2013-06-14 15:19:04 INFO  [Case:Method=>runjsTest]当前初始化页面信息：Title--->百度一下，你就知道
2013-06-14 15:19:04 INFO  [Case:Method=>runjsTest]当前初始化页面信息：窗口句柄数--->1
2013-06-14 15:21:24 INFO  *******************测试用例runjsTest开始执行*****************
2013-06-14 15:21:26 INFO  [Case:Method=>runjsTest]初始化了浏览器PhantomJS来进行自动化测试
2013-06-14 15:21:26 INFO  [Case:Method=>runjsTest]窗口的句柄数增多，进行句柄收集操作
2013-06-14 15:21:26 INFO  [Case:Method=>runjsTest]添加了新的窗口信息->百度一下，你就知道
2013-06-14 15:21:26 INFO  [Case:Method=>runjsTest]当前初始化页面信息：URL--->http://www.baidu.com/
2013-06-14 15:21:26 INFO  [Case:Method=>runjsTest]当前初始化页面信息：Title--->百度一下，你就知道
2013-06-14 15:21:26 INFO  [Case:Method=>runjsTest]当前初始化页面信息：窗口句柄数--->1
2013-06-14 15:21:26 INFO  [Case:Method=>runjsTest]浏览器执行了javascriptalert("hello,world")
